filename,label
page0_char000.png,uncertain
page1_char000.png,uncertain
page1_char001.png,uncertain
page2_char000.png,uncertain
page2_char001.png,uncertain
page3_char000.png,服
page3_char001.png,麟
page3_char002.png,麒
page3_char003.png,服
page3_char004.png,末
page3_char005.png,每
page3_char006.png,麟
page3_char007.png,上
page3_char008.png,两
page3_char009.png,患
page3_char010.png,各
page3_char011.png,马
page3_char012.png,故
page3_char013.png,每
page3_char014.png,末
page3_char015.png,uncertain
page3_char016.png,散
page3_char017.png,等
page3_char018.png,半
page3_char019.png,uncertain
page3_char020.png,身
page3_char021.png,沸
page3_char022.png,沸
page3_char023.png,也
page3_char024.png,uncertain
page3_char025.png,太
page3_char026.png,水
page3_char027.png,温
page3_char028.png,马
page3_char029.png,两
page3_char030.png,两
page3_char031.png,急
page3_char032.png,uncertain
page3_char033.png,道
page3_char034.png,每
page3_char035.png,嚾
page3_char036.png,没
page3_char037.png,风
page3_char038.png,胎
page3_char039.png,大
page3_char040.png,为
page3_char041.png,辰
page3_char042.png,皮
page3_char043.png,花
page3_char044.png,茴
page3_char045.png,巴
page3_char046.png,五
page3_char047.png,半
page3_char048.png,病
page3_char049.png,牵
page3_char050.png,酒
page3_char051.png,把
page3_char052.png,温
page3_char053.png,肥
page3_char054.png,温
page3_char055.png,麒
page3_char056.png,uncertain
page3_char057.png,宝
page3_char058.png,把
page3_char059.png,钱
page3_char060.png,驹
page3_char061.png,竭
page3_char062.png,散
page3_char063.png,嚾
page3_char064.png,各
page3_char065.png,卢
page3_char066.png,服
page3_char067.png,全
page3_char068.png,口
page3_char069.png,煎
page3_char070.png,猛
page3_char071.png,破
page3_char072.png,等
page3_char073.png,香
page3_char074.png,胎
page3_char075.png,uncertain
page3_char076.png,产
page3_char077.png,uncertain
page3_char078.png,三
page3_char079.png,三
page3_char080.png,侍
page3_char081.png,之
page3_char082.png,气
page3_char083.png,水
page3_char084.png,为
page3_char085.png,不
page3_char086.png,满
page4_char000.png,包
page4_char001.png,验
page4_char002.png,之
page4_char003.png,归
page4_char004.png,速
page4_char005.png,开
page4_char006.png,宜
page4_char007.png,滑
page4_char008.png,衣
page4_char009.png,促
page4_char010.png,恶
page4_char011.png,粗
page4_char012.png,最
page4_char013.png,滋
page4_char014.png,努
page4_char015.png,菜
page4_char016.png,要
page4_char017.png,凡
page4_char018.png,噬
page4_char019.png,益
page4_char020.png,周
page4_char021.png,驹
page4_char022.png,医
page4_char023.png,夫
page4_char024.png,uncertain
page4_char025.png,者
page4_char026.png,取
page4_char027.png,拴
page4_char028.png,淋
page4_char029.png,散
page4_char030.png,生
page4_char031.png,医
page4_char032.png,胀
page4_char033.png,暖
page4_char034.png,医
page4_char035.png,你
page4_char036.png,之
page4_char037.png,uncertain
page4_char038.png,活
page4_char039.png,uncertain
page4_char040.png,包
page4_char041.png,之
page4_char042.png,取
page4_char043.png,之
page4_char044.png,曰
page4_char045.png,痛
page4_char046.png,歌
page4_char047.png,uncertain
page4_char048.png,病
page4_char049.png,未
page4_char050.png,安
page4_char051.png,辰
page4_char052.png,三
page4_char053.png,胎
page4_char054.png,胎
page4_char055.png,水
page4_char056.png,舌
page4_char057.png,煎
page4_char058.png,腹
page4_char059.png,白
page4_char060.png,益
page4_char061.png,状
page4_char062.png,胎
page4_char063.png,伤
page4_char064.png,也
page4_char065.png,有
page4_char066.png,马
page4_char067.png,病
page4_char068.png,轻
page4_char069.png,用
page4_char070.png,出
page4_char071.png,气
page4_char072.png,曰
page4_char073.png,马
page4_char074.png,之
page4_char075.png,嚾
page4_char076.png,取
page4_char077.png,捉
page4_char078.png,胀
page4_char079.png,当
page4_char080.png,动
page4_char081.png,色
page4_char082.png,不
page4_char083.png,伤
page4_char084.png,uncertain
page4_char085.png,须
page4_char086.png,损
page4_char087.png,患
page4_char088.png,蹲
page4_char089.png,腰
page4_char090.png,黄
page4_char091.png,努
page4_char092.png,者
page4_char093.png,道
